called directly with directory .
Number of Files: 3951 in directory: .

Hash: 2e612028e6b80f01ec0bc2781e829a78 Time: 1ms /home/aarato/node/ucipass-dupfinder/test/gallery/files/dir1/1.jpg

Hash: 2e612028e6b80f01ec0bc2781e829a78 Time: 0ms /home/aarato/node/ucipass-dupfinder/test/gallery/files/dir3/3.jpg

Hash: 06dfbf258b88d90f7d495b89f35ba1d9 Time: 0ms /home/aarato/node/ucipass-dupfinder/test/gallery/files/dir2/2.jpg

Hash: 06dfbf258b88d90f7d495b89f35ba1d9 Time: 0ms /home/aarato/node/ucipass-dupfinder/test/gallery/files/dir4/4.jpg

Hash: a12ebca0510a773644101a99a867d210 Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/has-flag/license

Hash: a12ebca0510a773644101a99a867d210 Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/path-is-absolute/license

Hash: a12ebca0510a773644101a99a867d210 Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/supports-color/license

Hash: 9ef5fb33a1a94773afb7dc52b0dfbb5d Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/.bin/mkdirp

Hash: 9ef5fb33a1a94773afb7dc52b0dfbb5d Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/mkdirp/bin/cmd.js

Hash: f519f8cb155e30cece6b0e75aa6a3a53 Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/lodash._getnative/LICENSE

Hash: f519f8cb155e30cece6b0e75aa6a3a53 Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/lodash._basecreate/LICENSE

Hash: f519f8cb155e30cece6b0e75aa6a3a53 Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/lodash.create/LICENSE

Hash: f519f8cb155e30cece6b0e75aa6a3a53 Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/lodash.isarray/LICENSE

Hash: f519f8cb155e30cece6b0e75aa6a3a53 Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/lodash.keys/LICENSE

Hash: 729ce481df3e00695f833aee7e5a7946 Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/mocha/bin/mocha

Hash: 729ce481df3e00695f833aee7e5a7946 Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/.bin/mocha

Hash: 58f4f2d91c902c1dbd20531166b8e3d6 Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/.bin/_mocha

Hash: 58f4f2d91c902c1dbd20531166b8e3d6 Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/mocha/bin/_mocha

Hash: d41d8cd98f00b204e9800998ecf8427e Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/readdir-scoped-modules/test/fixtures/a/y/.keep

Hash: d41d8cd98f00b204e9800998ecf8427e Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/readdir-scoped-modules/test/fixtures/@org/x/.keep

Hash: d41d8cd98f00b204e9800998ecf8427e Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/readdir-scoped-modules/test/fixtures/@org/y/.keep

Hash: d41d8cd98f00b204e9800998ecf8427e Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/readdir-scoped-modules/test/fixtures/@scope/x/.keep

Hash: d41d8cd98f00b204e9800998ecf8427e Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/readdir-scoped-modules/test/fixtures/@scope/y/.keep

Hash: d41d8cd98f00b204e9800998ecf8427e Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/readdir-scoped-modules/test/fixtures/a/x/.keep

Hash: d41d8cd98f00b204e9800998ecf8427e Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/request/node_modules/hawk/node_modules/hoek/test/modules/ignore.txt

Hash: d41d8cd98f00b204e9800998ecf8427e Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/readdir-scoped-modules/test/fixtures/b/x/.keep

Hash: d41d8cd98f00b204e9800998ecf8427e Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/readdir-scoped-modules/test/fixtures/b/y/.keep

Hash: d41d8cd98f00b204e9800998ecf8427e Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/request/node_modules/http-signature/node_modules/jsprim/node_modules/verror/.gitmodules

Hash: d41d8cd98f00b204e9800998ecf8427e Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/node-gyp/gyp/pylib/gyp/generator/__init__.py

Hash: 098f6bcd4621d373cade4e832627b4f6 Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/request/node_modules/extend/.npmignore

Hash: d3b07384d113edec49eaa6238ad5ff00 Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/read-package-json/test/fixtures/readmes/README

Hash: 80548d501384889e787d300de0a2a79d Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/request/node_modules/qs/.eslintignore

Hash: d8e8fca2dc0f896fd7cb4cb0031ba249 Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/request/node_modules/combined-stream/node_modules/delayed-stream/.npmignore

